time,P
1/1/2005 0:00,0
1/1/2005 1:00,0
1/1/2005 2:00,0
1/1/2005 3:00,0
1/1/2005 4:00,0
1/1/2005 5:00,0
1/1/2005 6:00,0
1/1/2005 7:00,0
1/1/2005 8:00,0.08
1/1/2005 9:00,0.35
1/1/2005 10:00,0.56
1/1/2005 11:00,0.38
1/1/2005 12:00,0.01
1/1/2005 13:00,0.11
1/1/2005 14:00,0.06
1/1/2005 15:00,0.1
1/1/2005 16:00,0.31
1/1/2005 17:00,0
1/1/2005 18:00,0
1/1/2005 19:00,0
1/1/2005 20:00,0
1/1/2005 21:00,0
1/1/2005 22:00,0
1/1/2005 23:00,0
1/2/2005 0:00,0
1/2/2005 1:00,0
1/2/2005 2:00,0
1/2/2005 3:00,0
1/2/2005 4:00,0
1/2/2005 5:00,0
1/2/2005 6:00,0
1/2/2005 7:00,0
1/2/2005 8:00,0
1/2/2005 9:00,0.03
1/2/2005 10:00,0.03
1/2/2005 11:00,0.14
1/2/2005 12:00,0.28
1/2/2005 13:00,0.43
1/2/2005 14:00,0.19
1/2/2005 15:00,0.06
1/2/2005 16:00,0.03
1/2/2005 17:00,0
1/2/2005 18:00,0
1/2/2005 19:00,0
1/2/2005 20:00,0
1/2/2005 21:00,0
1/2/2005 22:00,0
1/2/2005 23:00,0
1/3/2005 0:00,0
1/3/2005 1:00,0
1/3/2005 2:00,0
1/3/2005 3:00,0
1/3/2005 4:00,0
1/3/2005 5:00,0
1/3/2005 6:00,0
1/3/2005 7:00,0
1/3/2005 8:00,0.08
1/3/2005 9:00,0.07
1/3/2005 10:00,0.27
1/3/2005 11:00,0.4
1/3/2005 12:00,0.28
1/3/2005 13:00,0.13
1/3/2005 14:00,0.09
1/3/2005 15:00,0.02
1/3/2005 16:00,0.03
1/3/2005 17:00,0
1/3/2005 18:00,0
1/3/2005 19:00,0
1/3/2005 20:00,0
1/3/2005 21:00,0
1/3/2005 22:00,0
1/3/2005 23:00,0
1/4/2005 0:00,0
1/4/2005 1:00,0
1/4/2005 2:00,0
1/4/2005 3:00,0
1/4/2005 4:00,0
1/4/2005 5:00,0
1/4/2005 6:00,0
1/4/2005 7:00,0
1/4/2005 8:00,0.08
1/4/2005 9:00,0.34
1/4/2005 10:00,0.16
1/4/2005 11:00,0.3
1/4/2005 12:00,0.37
1/4/2005 13:00,0.5
1/4/2005 14:00,0.68
1/4/2005 15:00,0.55
1/4/2005 16:00,0.02
1/4/2005 17:00,0
1/4/2005 18:00,0
1/4/2005 19:00,0
1/4/2005 20:00,0
1/4/2005 21:00,0
1/4/2005 22:00,0
1/4/2005 23:00,0
1/5/2005 0:00,0
1/5/2005 1:00,0
1/5/2005 2:00,0
1/5/2005 3:00,0
1/5/2005 4:00,0
1/5/2005 5:00,0
1/5/2005 6:00,0
1/5/2005 7:00,0
1/5/2005 8:00,0
1/5/2005 9:00,0.02
1/5/2005 10:00,0.03
1/5/2005 11:00,0.1
1/5/2005 12:00,0.06
1/5/2005 13:00,0.08
1/5/2005 14:00,0.07
1/5/2005 15:00,0.05
1/5/2005 16:00,0.08
1/5/2005 17:00,0
1/5/2005 18:00,0
1/5/2005 19:00,0
1/5/2005 20:00,0
1/5/2005 21:00,0
1/5/2005 22:00,0
1/5/2005 23:00,0
1/6/2005 0:00,0
1/6/2005 1:00,0
1/6/2005 2:00,0
1/6/2005 3:00,0
1/6/2005 4:00,0
1/6/2005 5:00,0
1/6/2005 6:00,0
1/6/2005 7:00,0
1/6/2005 8:00,0.08
1/6/2005 9:00,0.35
1/6/2005 10:00,0.55
1/6/2005 11:00,0.34
1/6/2005 12:00,0.75
1/6/2005 13:00,0.75
1/6/2005 14:00,0.69
1/6/2005 15:00,0.56
1/6/2005 16:00,0.33
1/6/2005 17:00,0
1/6/2005 18:00,0
1/6/2005 19:00,0
1/6/2005 20:00,0
1/6/2005 21:00,0
1/6/2005 22:00,0
1/6/2005 23:00,0
1/7/2005 0:00,0
1/7/2005 1:00,0
1/7/2005 2:00,0
1/7/2005 3:00,0
1/7/2005 4:00,0
1/7/2005 5:00,0
1/7/2005 6:00,0
1/7/2005 7:00,0
1/7/2005 8:00,0
1/7/2005 9:00,0.01
1/7/2005 10:00,0.04
1/7/2005 11:00,0.13
1/7/2005 12:00,0.01
1/7/2005 13:00,0.09
1/7/2005 14:00,0.05
1/7/2005 15:00,0.01
1/7/2005 16:00,0.02
1/7/2005 17:00,0
1/7/2005 18:00,0
1/7/2005 19:00,0
1/7/2005 20:00,0
1/7/2005 21:00,0
1/7/2005 22:00,0
1/7/2005 23:00,0
1/8/2005 0:00,0
1/8/2005 1:00,0
1/8/2005 2:00,0
1/8/2005 3:00,0
1/8/2005 4:00,0
1/8/2005 5:00,0
1/8/2005 6:00,0
1/8/2005 7:00,0
1/8/2005 8:00,0.08
1/8/2005 9:00,0.35
1/8/2005 10:00,0.18
1/8/2005 11:00,0.52
1/8/2005 12:00,0.01
1/8/2005 13:00,0.35
1/8/2005 14:00,0.4
1/8/2005 15:00,0
1/8/2005 16:00,0.24
1/8/2005 17:00,0
1/8/2005 18:00,0
1/8/2005 19:00,0
1/8/2005 20:00,0
1/8/2005 21:00,0
1/8/2005 22:00,0
1/8/2005 23:00,0
1/9/2005 0:00,0
1/9/2005 1:00,0
1/9/2005 2:00,0
1/9/2005 3:00,0
1/9/2005 4:00,0
1/9/2005 5:00,0
1/9/2005 6:00,0
1/9/2005 7:00,0
1/9/2005 8:00,0.03
1/9/2005 9:00,0.07
1/9/2005 10:00,0.54
1/9/2005 11:00,0.5
1/9/2005 12:00,0.35
1/9/2005 13:00,0.02
1/9/2005 14:00,0.35
1/9/2005 15:00,0.35
1/9/2005 16:00,0.1
1/9/2005 17:00,0
1/9/2005 18:00,0
1/9/2005 19:00,0
1/9/2005 20:00,0
1/9/2005 21:00,0
1/9/2005 22:00,0
1/9/2005 23:00,0
1/10/2005 0:00,0
1/10/2005 1:00,0
1/10/2005 2:00,0
1/10/2005 3:00,0
1/10/2005 4:00,0
1/10/2005 5:00,0
1/10/2005 6:00,0
1/10/2005 7:00,0
1/10/2005 8:00,0.02
1/10/2005 9:00,0.1
1/10/2005 10:00,0.14
1/10/2005 11:00,0.2
1/10/2005 12:00,0.49
1/10/2005 13:00,0.46
1/10/2005 14:00,0.4
1/10/2005 15:00,0.4
1/10/2005 16:00,0
1/10/2005 17:00,0
1/10/2005 18:00,0
1/10/2005 19:00,0
1/10/2005 20:00,0
1/10/2005 21:00,0
1/10/2005 22:00,0
1/10/2005 23:00,0
1/11/2005 0:00,0
1/11/2005 1:00,0
1/11/2005 2:00,0
1/11/2005 3:00,0
1/11/2005 4:00,0
1/11/2005 5:00,0
1/11/2005 6:00,0
1/11/2005 7:00,0
1/11/2005 8:00,0.08
1/11/2005 9:00,0.34
1/11/2005 10:00,0.55
1/11/2005 11:00,0.7
1/11/2005 12:00,0.77
1/11/2005 13:00,0.78
1/11/2005 14:00,0.72
1/11/2005 15:00,0.58
1/11/2005 16:00,0.11
1/11/2005 17:00,0
1/11/2005 18:00,0
1/11/2005 19:00,0
1/11/2005 20:00,0
1/11/2005 21:00,0
1/11/2005 22:00,0
1/11/2005 23:00,0
1/12/2005 0:00,0
1/12/2005 1:00,0
1/12/2005 2:00,0
1/12/2005 3:00,0
1/12/2005 4:00,0
1/12/2005 5:00,0
1/12/2005 6:00,0
1/12/2005 7:00,0
1/12/2005 8:00,0.09
1/12/2005 9:00,0.37
1/12/2005 10:00,0.58
1/12/2005 11:00,0.72
1/12/2005 12:00,0.78
1/12/2005 13:00,0.78
1/12/2005 14:00,0.72
1/12/2005 15:00,0.33
1/12/2005 16:00,0.37
1/12/2005 17:00,0
1/12/2005 18:00,0
1/12/2005 19:00,0
1/12/2005 20:00,0
1/12/2005 21:00,0
1/12/2005 22:00,0
1/12/2005 23:00,0
1/13/2005 0:00,0
1/13/2005 1:00,0
1/13/2005 2:00,0
1/13/2005 3:00,0
1/13/2005 4:00,0
1/13/2005 5:00,0
1/13/2005 6:00,0
1/13/2005 7:00,0
1/13/2005 8:00,0.01
1/13/2005 9:00,0.05
1/13/2005 10:00,0.14
1/13/2005 11:00,0.25
1/13/2005 12:00,0.27
1/13/2005 13:00,0.27
1/13/2005 14:00,0.15
1/13/2005 15:00,0.18
1/13/2005 16:00,0.03
1/13/2005 17:00,0
1/13/2005 18:00,0
1/13/2005 19:00,0
1/13/2005 20:00,0
1/13/2005 21:00,0
1/13/2005 22:00,0
1/13/2005 23:00,0
1/14/2005 0:00,0
1/14/2005 1:00,0
1/14/2005 2:00,0
1/14/2005 3:00,0
1/14/2005 4:00,0
1/14/2005 5:00,0
1/14/2005 6:00,0
1/14/2005 7:00,0
1/14/2005 8:00,0.09
1/14/2005 9:00,0.03
1/14/2005 10:00,0.06
1/14/2005 11:00,0.12
1/14/2005 12:00,0.75
1/14/2005 13:00,0.74
1/14/2005 14:00,0.69
1/14/2005 15:00,0.56
1/14/2005 16:00,0.22
1/14/2005 17:00,0
1/14/2005 18:00,0
1/14/2005 19:00,0
1/14/2005 20:00,0
1/14/2005 21:00,0
1/14/2005 22:00,0
1/14/2005 23:00,0
1/15/2005 0:00,0
1/15/2005 1:00,0
1/15/2005 2:00,0
1/15/2005 3:00,0
1/15/2005 4:00,0
1/15/2005 5:00,0
1/15/2005 6:00,0
