time,P
1/1/2005 0:00,0
1/1/2005 1:00,0
1/1/2005 2:00,0
1/1/2005 3:00,0
1/1/2005 4:00,0
1/1/2005 5:00,0
1/1/2005 6:00,0
1/1/2005 7:00,0
1/1/2005 8:00,0.1
1/1/2005 9:00,0.21
1/1/2005 10:00,0.58
1/1/2005 11:00,0.69
1/1/2005 12:00,0.73
1/1/2005 13:00,0.72
1/1/2005 14:00,0.65
1/1/2005 15:00,0.53
1/1/2005 16:00,0.34
1/1/2005 17:00,0
1/1/2005 18:00,0
1/1/2005 19:00,0
1/1/2005 20:00,0
1/1/2005 21:00,0
1/1/2005 22:00,0
1/1/2005 23:00,0
1/2/2005 0:00,0
1/2/2005 1:00,0
1/2/2005 2:00,0
1/2/2005 3:00,0
1/2/2005 4:00,0
1/2/2005 5:00,0
1/2/2005 6:00,0
1/2/2005 7:00,0
1/2/2005 8:00,0.02
1/2/2005 9:00,0.26
1/2/2005 10:00,0.28
1/2/2005 11:00,0.68
1/2/2005 12:00,0.29
1/2/2005 13:00,0.22
1/2/2005 14:00,0.2
1/2/2005 15:00,0.15
1/2/2005 16:00,0.16
1/2/2005 17:00,0
1/2/2005 18:00,0
1/2/2005 19:00,0
1/2/2005 20:00,0
1/2/2005 21:00,0
1/2/2005 22:00,0
1/2/2005 23:00,0
1/3/2005 0:00,0
1/3/2005 1:00,0
1/3/2005 2:00,0
1/3/2005 3:00,0
1/3/2005 4:00,0
1/3/2005 5:00,0
1/3/2005 6:00,0
1/3/2005 7:00,0
1/3/2005 8:00,0.02
1/3/2005 9:00,0.24
1/3/2005 10:00,0.37
1/3/2005 11:00,0.38
1/3/2005 12:00,0.5
1/3/2005 13:00,0.73
1/3/2005 14:00,0.43
1/3/2005 15:00,0.13
1/3/2005 16:00,0.06
1/3/2005 17:00,0
1/3/2005 18:00,0
1/3/2005 19:00,0
1/3/2005 20:00,0
1/3/2005 21:00,0
1/3/2005 22:00,0
1/3/2005 23:00,0
1/4/2005 0:00,0
1/4/2005 1:00,0
1/4/2005 2:00,0
1/4/2005 3:00,0
1/4/2005 4:00,0
1/4/2005 5:00,0
1/4/2005 6:00,0
1/4/2005 7:00,0
1/4/2005 8:00,0.09
1/4/2005 9:00,0.37
1/4/2005 10:00,0.38
1/4/2005 11:00,0.68
1/4/2005 12:00,0.74
1/4/2005 13:00,0.73
1/4/2005 14:00,0.46
1/4/2005 15:00,0.53
1/4/2005 16:00,0.33
1/4/2005 17:00,0
1/4/2005 18:00,0
1/4/2005 19:00,0
1/4/2005 20:00,0
1/4/2005 21:00,0
1/4/2005 22:00,0
1/4/2005 23:00,0
1/5/2005 0:00,0
1/5/2005 1:00,0
1/5/2005 2:00,0
1/5/2005 3:00,0
1/5/2005 4:00,0
1/5/2005 5:00,0
1/5/2005 6:00,0
1/5/2005 7:00,0
1/5/2005 8:00,0.09
1/5/2005 9:00,0.11
1/5/2005 10:00,0.46
1/5/2005 11:00,0.31
1/5/2005 12:00,0.51
1/5/2005 13:00,0.38
1/5/2005 14:00,0.35
1/5/2005 15:00,0.09
1/5/2005 16:00,0.11
1/5/2005 17:00,0.02
1/5/2005 18:00,0
1/5/2005 19:00,0
1/5/2005 20:00,0
1/5/2005 21:00,0
1/5/2005 22:00,0
1/5/2005 23:00,0
1/6/2005 0:00,0
1/6/2005 1:00,0
1/6/2005 2:00,0
1/6/2005 3:00,0
1/6/2005 4:00,0
1/6/2005 5:00,0
1/6/2005 6:00,0
1/6/2005 7:00,0
1/6/2005 8:00,0
1/6/2005 9:00,0.04
1/6/2005 10:00,0.09
1/6/2005 11:00,0.07
1/6/2005 12:00,0.29
1/6/2005 13:00,0.3
1/6/2005 14:00,0.04
1/6/2005 15:00,0.07
1/6/2005 16:00,0.05
1/6/2005 17:00,0.01
1/6/2005 18:00,0
1/6/2005 19:00,0
1/6/2005 20:00,0
1/6/2005 21:00,0
1/6/2005 22:00,0
1/6/2005 23:00,0
1/7/2005 0:00,0
1/7/2005 1:00,0
1/7/2005 2:00,0
1/7/2005 3:00,0
1/7/2005 4:00,0
1/7/2005 5:00,0
1/7/2005 6:00,0
1/7/2005 7:00,0
1/7/2005 8:00,0
1/7/2005 9:00,0.05
1/7/2005 10:00,0.13
1/7/2005 11:00,0.13
1/7/2005 12:00,0.09
1/7/2005 13:00,0.51
1/7/2005 14:00,0.41
1/7/2005 15:00,0.33
1/7/2005 16:00,0.17
1/7/2005 17:00,0.02
1/7/2005 18:00,0
1/7/2005 19:00,0
1/7/2005 20:00,0
1/7/2005 21:00,0
1/7/2005 22:00,0
1/7/2005 23:00,0
1/8/2005 0:00,0
1/8/2005 1:00,0
1/8/2005 2:00,0
1/8/2005 3:00,0
1/8/2005 4:00,0
1/8/2005 5:00,0
1/8/2005 6:00,0
1/8/2005 7:00,0
1/8/2005 8:00,0
1/8/2005 9:00,0.02
1/8/2005 10:00,0.2
1/8/2005 11:00,0.16
1/8/2005 12:00,0.18
1/8/2005 13:00,0.22
1/8/2005 14:00,0.11
1/8/2005 15:00,0.13
1/8/2005 16:00,0.36
1/8/2005 17:00,0.13
1/8/2005 18:00,0
1/8/2005 19:00,0
1/8/2005 20:00,0
1/8/2005 21:00,0
1/8/2005 22:00,0
1/8/2005 23:00,0
1/9/2005 0:00,0
1/9/2005 1:00,0
1/9/2005 2:00,0
1/9/2005 3:00,0
1/9/2005 4:00,0
1/9/2005 5:00,0
1/9/2005 6:00,0
1/9/2005 7:00,0
1/9/2005 8:00,0.1
1/9/2005 9:00,0.4
1/9/2005 10:00,0.61
1/9/2005 11:00,0.73
1/9/2005 12:00,0.78
1/9/2005 13:00,0.77
1/9/2005 14:00,0.7
1/9/2005 15:00,0.57
1/9/2005 16:00,0.38
1/9/2005 17:00,0.14
1/9/2005 18:00,0
1/9/2005 19:00,0
1/9/2005 20:00,0
1/9/2005 21:00,0
1/9/2005 22:00,0
1/9/2005 23:00,0
1/10/2005 0:00,0
1/10/2005 1:00,0
1/10/2005 2:00,0
1/10/2005 3:00,0
1/10/2005 4:00,0
1/10/2005 5:00,0
1/10/2005 6:00,0
1/10/2005 7:00,0
1/10/2005 8:00,0.1
1/10/2005 9:00,0.4
1/10/2005 10:00,0.6
1/10/2005 11:00,0.73
1/10/2005 12:00,0.78
1/10/2005 13:00,0.77
1/10/2005 14:00,0.58
1/10/2005 15:00,0.47
1/10/2005 16:00,0.33
1/10/2005 17:00,0.03
1/10/2005 18:00,0
1/10/2005 19:00,0
1/10/2005 20:00,0
1/10/2005 21:00,0
1/10/2005 22:00,0
1/10/2005 23:00,0
1/11/2005 0:00,0
1/11/2005 1:00,0
1/11/2005 2:00,0
1/11/2005 3:00,0
1/11/2005 4:00,0
1/11/2005 5:00,0
1/11/2005 6:00,0
1/11/2005 7:00,0
1/11/2005 8:00,0.01
1/11/2005 9:00,0.23
1/11/2005 10:00,0.39
1/11/2005 11:00,0.43
1/11/2005 12:00,0.5
1/11/2005 13:00,0.54
1/11/2005 14:00,0.22
1/11/2005 15:00,0.42
1/11/2005 16:00,0.19
1/11/2005 17:00,0.13
1/11/2005 18:00,0
1/11/2005 19:00,0
1/11/2005 20:00,0
1/11/2005 21:00,0
1/11/2005 22:00,0
1/11/2005 23:00,0
1/12/2005 0:00,0
1/12/2005 1:00,0
1/12/2005 2:00,0
1/12/2005 3:00,0
1/12/2005 4:00,0
1/12/2005 5:00,0
1/12/2005 6:00,0
1/12/2005 7:00,0
1/12/2005 8:00,0
1/12/2005 9:00,0.03
1/12/2005 10:00,0.39
1/12/2005 11:00,0.32
1/12/2005 12:00,0.35
1/12/2005 13:00,0.77
1/12/2005 14:00,0.09
1/12/2005 15:00,0.57
1/12/2005 16:00,0.16
1/12/2005 17:00,0.02
1/12/2005 18:00,0
1/12/2005 19:00,0
1/12/2005 20:00,0
1/12/2005 21:00,0
1/12/2005 22:00,0
1/12/2005 23:00,0
1/13/2005 0:00,0
1/13/2005 1:00,0
1/13/2005 2:00,0
1/13/2005 3:00,0
1/13/2005 4:00,0
1/13/2005 5:00,0
1/13/2005 6:00,0
1/13/2005 7:00,0
1/13/2005 8:00,0.09
1/13/2005 9:00,0.05
1/13/2005 10:00,0.11
1/13/2005 11:00,0.09
1/13/2005 12:00,0.27
1/13/2005 13:00,0.38
1/13/2005 14:00,0.06
1/13/2005 15:00,0.24
1/13/2005 16:00,0.17
1/13/2005 17:00,0.02
1/13/2005 18:00,0
1/13/2005 19:00,0
1/13/2005 20:00,0
1/13/2005 21:00,0
1/13/2005 22:00,0
1/13/2005 23:00,0
1/14/2005 0:00,0
1/14/2005 1:00,0
1/14/2005 2:00,0
1/14/2005 3:00,0
1/14/2005 4:00,0
1/14/2005 5:00,0
1/14/2005 6:00,0
1/14/2005 7:00,0
1/14/2005 8:00,0
1/14/2005 9:00,0.06
1/14/2005 10:00,0.1
1/14/2005 11:00,0.37
1/14/2005 12:00,0.32
1/14/2005 13:00,0.15
1/14/2005 14:00,0.12
1/14/2005 15:00,0.18
1/14/2005 16:00,0.25
1/14/2005 17:00,0.03
1/14/2005 18:00,0
1/14/2005 19:00,0
1/14/2005 20:00,0
1/14/2005 21:00,0
1/14/2005 22:00,0
1/14/2005 23:00,0
1/15/2005 0:00,0
1/15/2005 1:00,0
1/15/2005 2:00,0
1/15/2005 3:00,0
1/15/2005 4:00,0
