time,P
1/1/2005 0:00,0
1/1/2005 1:00,0
1/1/2005 2:00,0
1/1/2005 3:00,0
1/1/2005 4:00,0
1/1/2005 5:00,0
1/1/2005 6:00,0
1/1/2005 7:00,0
1/1/2005 8:00,0.07
1/1/2005 9:00,0.17
1/1/2005 10:00,0.12
1/1/2005 11:00,0.14
1/1/2005 12:00,0.41
1/1/2005 13:00,0.31
1/1/2005 14:00,0.26
1/1/2005 15:00,0.15
1/1/2005 16:00,0.42
1/1/2005 17:00,0.18
1/1/2005 18:00,0
1/1/2005 19:00,0
1/1/2005 20:00,0
1/1/2005 21:00,0
1/1/2005 22:00,0
1/1/2005 23:00,0
1/2/2005 0:00,0
1/2/2005 1:00,0
1/2/2005 2:00,0
1/2/2005 3:00,0
1/2/2005 4:00,0
1/2/2005 5:00,0
1/2/2005 6:00,0
1/2/2005 7:00,0
1/2/2005 8:00,0
1/2/2005 9:00,0.05
1/2/2005 10:00,0.04
1/2/2005 11:00,0.06
1/2/2005 12:00,0.18
1/2/2005 13:00,0.16
1/2/2005 14:00,0.21
1/2/2005 15:00,0.2
1/2/2005 16:00,0.06
1/2/2005 17:00,0.03
1/2/2005 18:00,0
1/2/2005 19:00,0
1/2/2005 20:00,0
1/2/2005 21:00,0
1/2/2005 22:00,0
1/2/2005 23:00,0
1/3/2005 0:00,0
1/3/2005 1:00,0
1/3/2005 2:00,0
1/3/2005 3:00,0
1/3/2005 4:00,0
1/3/2005 5:00,0
1/3/2005 6:00,0
1/3/2005 7:00,0
1/3/2005 8:00,0
1/3/2005 9:00,0.03
1/3/2005 10:00,0.1
1/3/2005 11:00,0.19
1/3/2005 12:00,0.26
1/3/2005 13:00,0.29
1/3/2005 14:00,0.63
1/3/2005 15:00,0.33
1/3/2005 16:00,0.41
1/3/2005 17:00,0.13
1/3/2005 18:00,0
1/3/2005 19:00,0
1/3/2005 20:00,0
1/3/2005 21:00,0
1/3/2005 22:00,0
1/3/2005 23:00,0
1/4/2005 0:00,0
1/4/2005 1:00,0
1/4/2005 2:00,0
1/4/2005 3:00,0
1/4/2005 4:00,0
1/4/2005 5:00,0
1/4/2005 6:00,0
1/4/2005 7:00,0
1/4/2005 8:00,0
1/4/2005 9:00,0
1/4/2005 10:00,0.26
1/4/2005 11:00,0.09
1/4/2005 12:00,0.17
1/4/2005 13:00,0.34
1/4/2005 14:00,0.11
1/4/2005 15:00,0.08
1/4/2005 16:00,0.43
1/4/2005 17:00,0.18
1/4/2005 18:00,0
1/4/2005 19:00,0
1/4/2005 20:00,0
1/4/2005 21:00,0
1/4/2005 22:00,0
1/4/2005 23:00,0
1/5/2005 0:00,0
1/5/2005 1:00,0
1/5/2005 2:00,0
1/5/2005 3:00,0
1/5/2005 4:00,0
1/5/2005 5:00,0
1/5/2005 6:00,0
1/5/2005 7:00,0
1/5/2005 8:00,0
1/5/2005 9:00,0.02
1/5/2005 10:00,0
1/5/2005 11:00,0
1/5/2005 12:00,0.02
1/5/2005 13:00,0.08
1/5/2005 14:00,0.09
1/5/2005 15:00,0.09
1/5/2005 16:00,0.06
1/5/2005 17:00,0.01
1/5/2005 18:00,0
1/5/2005 19:00,0
1/5/2005 20:00,0
1/5/2005 21:00,0
1/5/2005 22:00,0
1/5/2005 23:00,0
1/6/2005 0:00,0
1/6/2005 1:00,0
1/6/2005 2:00,0
1/6/2005 3:00,0
1/6/2005 4:00,0
1/6/2005 5:00,0
1/6/2005 6:00,0
1/6/2005 7:00,0
1/6/2005 8:00,0
1/6/2005 9:00,0.05
1/6/2005 10:00,0.05
1/6/2005 11:00,0.12
1/6/2005 12:00,0.12
1/6/2005 13:00,0.18
1/6/2005 14:00,0.1
1/6/2005 15:00,0.05
1/6/2005 16:00,0
1/6/2005 17:00,0.01
1/6/2005 18:00,0
1/6/2005 19:00,0
1/6/2005 20:00,0
1/6/2005 21:00,0
1/6/2005 22:00,0
1/6/2005 23:00,0
1/7/2005 0:00,0
1/7/2005 1:00,0
1/7/2005 2:00,0
1/7/2005 3:00,0
1/7/2005 4:00,0
1/7/2005 5:00,0
1/7/2005 6:00,0
1/7/2005 7:00,0
1/7/2005 8:00,0
1/7/2005 9:00,0.03
1/7/2005 10:00,0.08
1/7/2005 11:00,0.2
1/7/2005 12:00,0.48
1/7/2005 13:00,0.79
1/7/2005 14:00,0.74
1/7/2005 15:00,0.63
1/7/2005 16:00,0.46
1/7/2005 17:00,0.24
1/7/2005 18:00,0
1/7/2005 19:00,0
1/7/2005 20:00,0
1/7/2005 21:00,0
1/7/2005 22:00,0
1/7/2005 23:00,0
1/8/2005 0:00,0
1/8/2005 1:00,0
1/8/2005 2:00,0
1/8/2005 3:00,0
1/8/2005 4:00,0
1/8/2005 5:00,0
1/8/2005 6:00,0
1/8/2005 7:00,0
1/8/2005 8:00,0.08
1/8/2005 9:00,0.07
1/8/2005 10:00,0.14
1/8/2005 11:00,0.38
1/8/2005 12:00,0.79
1/8/2005 13:00,0.8
1/8/2005 14:00,0.75
1/8/2005 15:00,0.64
1/8/2005 16:00,0.47
1/8/2005 17:00,0.25
1/8/2005 18:00,0
1/8/2005 19:00,0
1/8/2005 20:00,0
1/8/2005 21:00,0
1/8/2005 22:00,0
1/8/2005 23:00,0
1/9/2005 0:00,0
1/9/2005 1:00,0
1/9/2005 2:00,0
1/9/2005 3:00,0
1/9/2005 4:00,0
1/9/2005 5:00,0
1/9/2005 6:00,0
1/9/2005 7:00,0
1/9/2005 8:00,0
1/9/2005 9:00,0.08
1/9/2005 10:00,0.09
1/9/2005 11:00,0.23
1/9/2005 12:00,0.15
1/9/2005 13:00,0.16
1/9/2005 14:00,0.12
1/9/2005 15:00,0.1
1/9/2005 16:00,0.05
1/9/2005 17:00,0.01
1/9/2005 18:00,0
1/9/2005 19:00,0
1/9/2005 20:00,0
1/9/2005 21:00,0
1/9/2005 22:00,0
1/9/2005 23:00,0
1/10/2005 0:00,0
1/10/2005 1:00,0
1/10/2005 2:00,0
1/10/2005 3:00,0
1/10/2005 4:00,0
1/10/2005 5:00,0
1/10/2005 6:00,0
1/10/2005 7:00,0
1/10/2005 8:00,0.01
1/10/2005 9:00,0.15
1/10/2005 10:00,0.23
1/10/2005 11:00,0.37
1/10/2005 12:00,0.62
1/10/2005 13:00,0.48
1/10/2005 14:00,0.36
1/10/2005 15:00,0.4
1/10/2005 16:00,0.18
1/10/2005 17:00,0.05
1/10/2005 18:00,0
1/10/2005 19:00,0
1/10/2005 20:00,0
1/10/2005 21:00,0
1/10/2005 22:00,0
1/10/2005 23:00,0
1/11/2005 0:00,0
1/11/2005 1:00,0
1/11/2005 2:00,0
1/11/2005 3:00,0
1/11/2005 4:00,0
1/11/2005 5:00,0
1/11/2005 6:00,0
1/11/2005 7:00,0
1/11/2005 8:00,0.07
1/11/2005 9:00,0.23
1/11/2005 10:00,0.19
1/11/2005 11:00,0.51
1/11/2005 12:00,0.6
1/11/2005 13:00,0.56
1/11/2005 14:00,0.63
1/11/2005 15:00,0.57
1/11/2005 16:00,0.33
1/11/2005 17:00,0.23
1/11/2005 18:00,0
1/11/2005 19:00,0
1/11/2005 20:00,0
1/11/2005 21:00,0
1/11/2005 22:00,0
1/11/2005 23:00,0
1/12/2005 0:00,0
1/12/2005 1:00,0
1/12/2005 2:00,0
1/12/2005 3:00,0
1/12/2005 4:00,0
1/12/2005 5:00,0
1/12/2005 6:00,0
1/12/2005 7:00,0
1/12/2005 8:00,0
1/12/2005 9:00,0.01
1/12/2005 10:00,0.04
1/12/2005 11:00,0.13
1/12/2005 12:00,0.14
1/12/2005 13:00,0.2
1/12/2005 14:00,0.1
1/12/2005 15:00,0.06
1/12/2005 16:00,0.04
1/12/2005 17:00,0.01
1/12/2005 18:00,0
1/12/2005 19:00,0
1/12/2005 20:00,0
1/12/2005 21:00,0
1/12/2005 22:00,0
1/12/2005 23:00,0
1/13/2005 0:00,0
1/13/2005 1:00,0
1/13/2005 2:00,0
1/13/2005 3:00,0
1/13/2005 4:00,0
1/13/2005 5:00,0
1/13/2005 6:00,0
1/13/2005 7:00,0
1/13/2005 8:00,0.08
1/13/2005 9:00,0.39
1/13/2005 10:00,0.62
1/13/2005 11:00,0.78
1/13/2005 12:00,0.87
1/13/2005 13:00,0.89
1/13/2005 14:00,0.84
1/13/2005 15:00,0.72
1/13/2005 16:00,0.54
1/13/2005 17:00,0.29
1/13/2005 18:00,0
1/13/2005 19:00,0
1/13/2005 20:00,0
1/13/2005 21:00,0
1/13/2005 22:00,0
1/13/2005 23:00,0
1/14/2005 0:00,0
1/14/2005 1:00,0
1/14/2005 2:00,0
1/14/2005 3:00,0
1/14/2005 4:00,0
1/14/2005 5:00,0
1/14/2005 6:00,0
1/14/2005 7:00,0
1/14/2005 8:00,0.09
1/14/2005 9:00,0.39
1/14/2005 10:00,0.62
1/14/2005 11:00,0.77
1/14/2005 12:00,0.84
1/14/2005 13:00,0.86
1/14/2005 14:00,0.67
1/14/2005 15:00,0.42
1/14/2005 16:00,0.52
1/14/2005 17:00,0.28
1/14/2005 18:00,0
1/14/2005 19:00,0
1/14/2005 20:00,0
1/14/2005 21:00,0
1/14/2005 22:00,0
1/14/2005 23:00,0
1/15/2005 0:00,0
1/15/2005 1:00,0
1/15/2005 2:00,0
1/15/2005 3:00,0
1/15/2005 4:00,0
1/15/2005 5:00,0
