Datetime,Total Hydro Generation (MWi)
1/1/2019 0:00,2.267
1/1/2019 0:05,2.267
1/1/2019 0:10,2.267
1/1/2019 0:15,2.267
1/1/2019 0:20,2.267
1/1/2019 0:25,2.267
1/1/2019 0:30,2.267
1/1/2019 0:35,2.267
1/1/2019 0:40,2.267
1/1/2019 0:45,2.267
1/1/2019 0:50,2.267
1/1/2019 0:55,2.267
1/1/2019 1:00,2.267
1/1/2019 1:05,2.267
1/1/2019 1:10,2.267
1/1/2019 1:15,2.267
1/1/2019 1:20,2.261
1/1/2019 1:25,2.254
1/1/2019 1:30,2.248
1/1/2019 1:35,2.242
1/1/2019 1:40,2.236
1/1/2019 1:45,2.229
1/1/2019 1:50,2.229
1/1/2019 1:55,2.229
1/1/2019 2:00,2.229
1/1/2019 2:05,2.229
1/1/2019 2:10,2.229
1/1/2019 2:15,2.229
1/1/2019 2:20,2.229
1/1/2019 2:25,2.229
1/1/2019 2:30,2.229
1/1/2019 2:35,2.229
1/1/2019 2:40,2.229
1/1/2019 2:45,2.229
1/1/2019 2:50,2.236
1/1/2019 2:55,2.242
1/1/2019 3:00,2.248
1/1/2019 3:05,2.254
1/1/2019 3:10,2.261
1/1/2019 3:15,2.267
1/1/2019 3:20,2.267
1/1/2019 3:25,2.267
1/1/2019 3:30,2.267
1/1/2019 3:35,2.267
1/1/2019 3:40,2.267
1/1/2019 3:45,2.267
1/1/2019 3:50,2.267
1/1/2019 3:55,2.267
1/1/2019 4:00,2.267
1/1/2019 4:05,2.267
1/1/2019 4:10,2.267
1/1/2019 4:15,2.267
1/1/2019 4:20,2.267
1/1/2019 4:25,2.267
1/1/2019 4:30,2.267
1/1/2019 4:35,2.267
1/1/2019 4:40,2.267
1/1/2019 4:45,2.267
1/1/2019 4:50,2.267
1/1/2019 4:55,2.267
1/1/2019 5:00,2.267
1/1/2019 5:05,2.254
1/1/2019 5:10,2.242
1/1/2019 5:15,2.229
1/1/2019 5:20,2.229
1/1/2019 5:25,2.229
1/1/2019 5:30,2.229
1/1/2019 5:35,2.229
1/1/2019 5:40,2.229
1/1/2019 5:45,2.229
1/1/2019 5:50,2.236
1/1/2019 5:55,2.242
1/1/2019 6:00,2.248
1/1/2019 6:05,2.248
1/1/2019 6:10,2.248
1/1/2019 6:15,2.248
1/1/2019 6:20,2.248
1/1/2019 6:25,2.248
1/1/2019 6:30,2.248
1/1/2019 6:35,2.248
1/1/2019 6:40,2.248
1/1/2019 6:45,2.248
1/1/2019 6:50,2.254
1/1/2019 6:55,2.261
1/1/2019 7:00,2.267
1/1/2019 7:05,2.267
1/1/2019 7:10,2.267
1/1/2019 7:15,2.267
1/1/2019 7:20,2.267
1/1/2019 7:25,2.267
1/1/2019 7:30,2.267
1/1/2019 7:35,2.261
1/1/2019 7:40,2.254
1/1/2019 7:45,2.248
1/1/2019 7:50,2.248
1/1/2019 7:55,2.248
1/1/2019 8:00,2.248
1/1/2019 8:05,2.248
1/1/2019 8:10,2.248
1/1/2019 8:15,2.248
1/1/2019 8:20,2.248
1/1/2019 8:25,2.248
1/1/2019 8:30,2.248
1/1/2019 8:35,2.248
1/1/2019 8:40,2.248
1/1/2019 8:45,2.248
1/1/2019 8:50,2.254
1/1/2019 8:55,2.261
1/1/2019 9:00,2.267
1/1/2019 9:05,2.279
1/1/2019 9:10,2.292
1/1/2019 9:15,2.304
1/1/2019 9:20,2.298
1/1/2019 9:25,2.292
1/1/2019 9:30,2.286
1/1/2019 9:35,2.279
1/1/2019 9:40,2.273
1/1/2019 9:45,2.267
1/1/2019 9:50,2.267
1/1/2019 9:55,2.267
1/1/2019 10:00,2.267
1/1/2019 10:05,2.273
1/1/2019 10:10,2.279
1/1/2019 10:15,2.286
1/1/2019 10:20,2.286
1/1/2019 10:25,2.286
1/1/2019 10:30,2.286
1/1/2019 10:35,2.286
1/1/2019 10:40,2.286
1/1/2019 10:45,2.286
1/1/2019 10:50,2.279
1/1/2019 10:55,2.273
1/1/2019 11:00,2.267
1/1/2019 11:05,2.267
1/1/2019 11:10,2.267
1/1/2019 11:15,2.267
1/1/2019 11:20,2.273
1/1/2019 11:25,2.279
1/1/2019 11:30,2.286
1/1/2019 11:35,2.286
1/1/2019 11:40,2.286
1/1/2019 11:45,2.286
1/1/2019 11:50,2.286
1/1/2019 11:55,2.286
1/1/2019 12:00,2.286
1/1/2019 12:05,2.292
1/1/2019 12:10,2.298
1/1/2019 12:15,2.304
1/1/2019 12:20,2.31
1/1/2019 12:25,2.317
1/1/2019 12:30,2.323
1/1/2019 12:35,2.317
1/1/2019 12:40,2.31
1/1/2019 12:45,2.304
1/1/2019 12:50,2.298
1/1/2019 12:55,2.292
1/1/2019 13:00,2.286
1/1/2019 13:05,2.286
1/1/2019 13:10,2.286
1/1/2019 13:15,2.286
1/1/2019 13:20,2.286
1/1/2019 13:25,2.286
1/1/2019 13:30,2.286
1/1/2019 13:35,2.292
1/1/2019 13:40,2.298
1/1/2019 13:45,2.304
1/1/2019 13:50,2.304
1/1/2019 13:55,2.304
1/1/2019 14:00,2.304
1/1/2019 14:05,2.304
1/1/2019 14:10,2.304
1/1/2019 14:15,2.304
1/1/2019 14:20,2.304
1/1/2019 14:25,2.304
1/1/2019 14:30,2.304
1/1/2019 14:35,2.304
1/1/2019 14:40,2.304
1/1/2019 14:45,2.304
1/1/2019 14:50,2.298
1/1/2019 14:55,2.292
1/1/2019 15:00,2.286
1/1/2019 15:05,2.279
1/1/2019 15:10,2.273
1/1/2019 15:15,2.267
