time,P
1/1/2005 0:00,0
1/1/2005 1:00,0
1/1/2005 2:00,0
1/1/2005 3:00,0
1/1/2005 4:00,0
1/1/2005 5:00,0
1/1/2005 6:00,0
1/1/2005 7:00,0
1/1/2005 8:00,0.02
1/1/2005 9:00,0.26
1/1/2005 10:00,0.44
1/1/2005 11:00,0.52
1/1/2005 12:00,0.56
1/1/2005 13:00,0.74
1/1/2005 14:00,0.63
1/1/2005 15:00,0.45
1/1/2005 16:00,0.2
1/1/2005 17:00,0
1/1/2005 18:00,0
1/1/2005 19:00,0
1/1/2005 20:00,0
1/1/2005 21:00,0
1/1/2005 22:00,0
1/1/2005 23:00,0
1/2/2005 0:00,0
1/2/2005 1:00,0
1/2/2005 2:00,0
1/2/2005 3:00,0
1/2/2005 4:00,0
1/2/2005 5:00,0
1/2/2005 6:00,0
1/2/2005 7:00,0
1/2/2005 8:00,0.17
1/2/2005 9:00,0.47
1/2/2005 10:00,0.66
1/2/2005 11:00,0.3
1/2/2005 12:00,0.1
1/2/2005 13:00,0.07
1/2/2005 14:00,0.04
1/2/2005 15:00,0.06
1/2/2005 16:00,0.01
1/2/2005 17:00,0
1/2/2005 18:00,0
1/2/2005 19:00,0
1/2/2005 20:00,0
1/2/2005 21:00,0
1/2/2005 22:00,0
1/2/2005 23:00,0
1/3/2005 0:00,0
1/3/2005 1:00,0
1/3/2005 2:00,0
1/3/2005 3:00,0
1/3/2005 4:00,0
1/3/2005 5:00,0
1/3/2005 6:00,0
1/3/2005 7:00,0
1/3/2005 8:00,0.02
1/3/2005 9:00,0.05
1/3/2005 10:00,0.22
1/3/2005 11:00,0.25
1/3/2005 12:00,0.23
1/3/2005 13:00,0.09
1/3/2005 14:00,0.13
1/3/2005 15:00,0.04
1/3/2005 16:00,0.01
1/3/2005 17:00,0
1/3/2005 18:00,0
1/3/2005 19:00,0
1/3/2005 20:00,0
1/3/2005 21:00,0
1/3/2005 22:00,0
1/3/2005 23:00,0
1/4/2005 0:00,0
1/4/2005 1:00,0
1/4/2005 2:00,0
1/4/2005 3:00,0
1/4/2005 4:00,0
1/4/2005 5:00,0
1/4/2005 6:00,0
1/4/2005 7:00,0
1/4/2005 8:00,0.14
1/4/2005 9:00,0.01
1/4/2005 10:00,0.07
1/4/2005 11:00,0.17
1/4/2005 12:00,0.16
1/4/2005 13:00,0.09
1/4/2005 14:00,0.17
1/4/2005 15:00,0.04
1/4/2005 16:00,0.03
1/4/2005 17:00,0
1/4/2005 18:00,0
1/4/2005 19:00,0
1/4/2005 20:00,0
1/4/2005 21:00,0
1/4/2005 22:00,0
1/4/2005 23:00,0
1/5/2005 0:00,0
1/5/2005 1:00,0
1/5/2005 2:00,0
1/5/2005 3:00,0
1/5/2005 4:00,0
1/5/2005 5:00,0
1/5/2005 6:00,0
1/5/2005 7:00,0
1/5/2005 8:00,0
1/5/2005 9:00,0.01
1/5/2005 10:00,0.07
1/5/2005 11:00,0.03
1/5/2005 12:00,0.04
1/5/2005 13:00,0.02
1/5/2005 14:00,0.04
1/5/2005 15:00,0.03
1/5/2005 16:00,0.01
1/5/2005 17:00,0
1/5/2005 18:00,0
1/5/2005 19:00,0
1/5/2005 20:00,0
1/5/2005 21:00,0
1/5/2005 22:00,0
1/5/2005 23:00,0
1/6/2005 0:00,0
1/6/2005 1:00,0
1/6/2005 2:00,0
1/6/2005 3:00,0
1/6/2005 4:00,0
1/6/2005 5:00,0
1/6/2005 6:00,0
1/6/2005 7:00,0
1/6/2005 8:00,0
1/6/2005 9:00,0
1/6/2005 10:00,0
1/6/2005 11:00,0.01
1/6/2005 12:00,0.06
1/6/2005 13:00,0.05
1/6/2005 14:00,0.02
1/6/2005 15:00,0.01
1/6/2005 16:00,0.01
1/6/2005 17:00,0
1/6/2005 18:00,0
1/6/2005 19:00,0
1/6/2005 20:00,0
1/6/2005 21:00,0
1/6/2005 22:00,0
1/6/2005 23:00,0
1/7/2005 0:00,0
1/7/2005 1:00,0
1/7/2005 2:00,0
1/7/2005 3:00,0
1/7/2005 4:00,0
1/7/2005 5:00,0
1/7/2005 6:00,0
1/7/2005 7:00,0
1/7/2005 8:00,0.07
1/7/2005 9:00,0.21
1/7/2005 10:00,0.49
1/7/2005 11:00,0.52
1/7/2005 12:00,0.71
1/7/2005 13:00,0.44
1/7/2005 14:00,0.47
1/7/2005 15:00,0.36
1/7/2005 16:00,0.07
1/7/2005 17:00,0
1/7/2005 18:00,0
1/7/2005 19:00,0
1/7/2005 20:00,0
1/7/2005 21:00,0
1/7/2005 22:00,0
1/7/2005 23:00,0
1/8/2005 0:00,0
1/8/2005 1:00,0
1/8/2005 2:00,0
1/8/2005 3:00,0
1/8/2005 4:00,0
1/8/2005 5:00,0
1/8/2005 6:00,0
1/8/2005 7:00,0
1/8/2005 8:00,0
1/8/2005 9:00,0
1/8/2005 10:00,0.02
1/8/2005 11:00,0.01
1/8/2005 12:00,0
1/8/2005 13:00,0.03
1/8/2005 14:00,0.08
1/8/2005 15:00,0.46
1/8/2005 16:00,0.21
1/8/2005 17:00,0
1/8/2005 18:00,0
1/8/2005 19:00,0
1/8/2005 20:00,0
1/8/2005 21:00,0
1/8/2005 22:00,0
1/8/2005 23:00,0
1/9/2005 0:00,0
1/9/2005 1:00,0
1/9/2005 2:00,0
1/9/2005 3:00,0
1/9/2005 4:00,0
1/9/2005 5:00,0
1/9/2005 6:00,0
1/9/2005 7:00,0
1/9/2005 8:00,0.14
1/9/2005 9:00,0.23
1/9/2005 10:00,0.67
1/9/2005 11:00,0.77
1/9/2005 12:00,0.79
1/9/2005 13:00,0.44
1/9/2005 14:00,0.37
1/9/2005 15:00,0.07
1/9/2005 16:00,0.22
1/9/2005 17:00,0
1/9/2005 18:00,0
1/9/2005 19:00,0
1/9/2005 20:00,0
1/9/2005 21:00,0
1/9/2005 22:00,0
1/9/2005 23:00,0
1/10/2005 0:00,0
1/10/2005 1:00,0
1/10/2005 2:00,0
1/10/2005 3:00,0
1/10/2005 4:00,0
1/10/2005 5:00,0
1/10/2005 6:00,0
1/10/2005 7:00,0
1/10/2005 8:00,0.01
1/10/2005 9:00,0.01
1/10/2005 10:00,0.07
1/10/2005 11:00,0.1
1/10/2005 12:00,0.53
1/10/2005 13:00,0.23
1/10/2005 14:00,0.19
1/10/2005 15:00,0.07
1/10/2005 16:00,0.25
1/10/2005 17:00,0
1/10/2005 18:00,0
1/10/2005 19:00,0
1/10/2005 20:00,0
1/10/2005 21:00,0
1/10/2005 22:00,0
1/10/2005 23:00,0
1/11/2005 0:00,0
1/11/2005 1:00,0
1/11/2005 2:00,0
1/11/2005 3:00,0
1/11/2005 4:00,0
1/11/2005 5:00,0
1/11/2005 6:00,0
1/11/2005 7:00,0
1/11/2005 8:00,0
1/11/2005 9:00,0.09
1/11/2005 10:00,0.04
1/11/2005 11:00,0.1
1/11/2005 12:00,0.06
1/11/2005 13:00,0.09
1/11/2005 14:00,0.04
1/11/2005 15:00,0.01
1/11/2005 16:00,0
1/11/2005 17:00,0
1/11/2005 18:00,0
1/11/2005 19:00,0
1/11/2005 20:00,0
1/11/2005 21:00,0
1/11/2005 22:00,0
1/11/2005 23:00,0
1/12/2005 0:00,0
1/12/2005 1:00,0
1/12/2005 2:00,0
1/12/2005 3:00,0
1/12/2005 4:00,0
1/12/2005 5:00,0
1/12/2005 6:00,0
1/12/2005 7:00,0
1/12/2005 8:00,0.15
1/12/2005 9:00,0
1/12/2005 10:00,0.05
1/12/2005 11:00,0.05
1/12/2005 12:00,0.03
1/12/2005 13:00,0.04
1/12/2005 14:00,0.05
1/12/2005 15:00,0.02
1/12/2005 16:00,0
1/12/2005 17:00,0
1/12/2005 18:00,0
1/12/2005 19:00,0
1/12/2005 20:00,0
1/12/2005 21:00,0
1/12/2005 22:00,0
1/12/2005 23:00,0
1/13/2005 0:00,0
1/13/2005 1:00,0
1/13/2005 2:00,0
1/13/2005 3:00,0
1/13/2005 4:00,0
1/13/2005 5:00,0
1/13/2005 6:00,0
1/13/2005 7:00,0
1/13/2005 8:00,0
1/13/2005 9:00,0
1/13/2005 10:00,0.03
1/13/2005 11:00,0.17
1/13/2005 12:00,0.18
1/13/2005 13:00,0.2
1/13/2005 14:00,0.49
1/13/2005 15:00,0.07
1/13/2005 16:00,0.02
1/13/2005 17:00,0
1/13/2005 18:00,0
1/13/2005 19:00,0
1/13/2005 20:00,0
1/13/2005 21:00,0
1/13/2005 22:00,0
1/13/2005 23:00,0
1/14/2005 0:00,0
1/14/2005 1:00,0
1/14/2005 2:00,0
1/14/2005 3:00,0
1/14/2005 4:00,0
1/14/2005 5:00,0
1/14/2005 6:00,0
1/14/2005 7:00,0
1/14/2005 8:00,0
1/14/2005 9:00,0.01
1/14/2005 10:00,0
1/14/2005 11:00,0.02
1/14/2005 12:00,0.04
1/14/2005 13:00,0.01
1/14/2005 14:00,0.07
1/14/2005 15:00,0.03
1/14/2005 16:00,0.01
1/14/2005 17:00,0
1/14/2005 18:00,0
1/14/2005 19:00,0
1/14/2005 20:00,0
1/14/2005 21:00,0
1/14/2005 22:00,0
1/14/2005 23:00,0
1/15/2005 0:00,0
1/15/2005 1:00,0
1/15/2005 2:00,0
1/15/2005 3:00,0
1/15/2005 4:00,0
1/15/2005 5:00,0
1/15/2005 6:00,0
1/15/2005 7:00,0
